azimuth, zenith, lat, long, gt_val, set_val, delta
0.0,0.0,41.68272,-87.00682,20.439566,25.00001593789149,-4.560450279322154
-180.0,15.0,41.68272,-87.00682,20.439566,31.064261440275114,-10.624695781705778
-90.0,15.0,41.68272,-87.00682,20.439566,23.748757396593103,-3.3091917380237668
0.0,15.0,41.68272,-87.00682,20.439566,23.193559415712684,-2.7539937571433484
-180.0,15.0,41.68272,-87.00682,20.439566,31.064352520384393,-10.624786861815057
90.0,15.0,41.68272,-87.00682,20.439566,18.987900615423683,1.4516650431456526
-120.0,30.0,41.68272,-87.00682,20.439566,34.85752508523344,-14.417959426664105
-180.0,30.0,41.68272,-87.00682,20.439566,44.86296990165209,-24.423404243082757
-60.0,30.0,41.68272,-87.00682,20.439566,30.908818852717694,-10.469253194148358
0.0,30.0,41.68272,-87.00682,20.439566,24.470382705579183,-4.030817047009847
120.0,30.0,41.68272,-87.00682,20.439566,23.809843387780685,-3.370277729211349
-180.0,30.0,41.68272,-87.00682,20.439566,44.86296990165209,-24.423404243082757
60.0,30.0,41.68272,-87.00682,20.439566,20.344712614420985,0.09485304414835127
-135.0,50.0,41.68272,-87.00682,20.439566,66.50153778637507,-46.06197212780573
-180.0,50.0,41.68272,-87.00682,20.439566,93.55483254890613,-73.1152668903368
-45.0,50.0,41.68272,-87.00682,20.439566,53.22322271990837,-32.783657061339035
-90.0,50.0,41.68272,-87.00682,20.439566,81.63514988519985,-61.195584226630515
0.0,50.0,41.68272,-87.00682,20.439566,33.085535193882436,-12.6459695353131
135.0,50.0,41.68272,-87.00682,20.439566,39.54234076095588,-19.102775102386545
-180.0,50.0,41.68272,-87.00682,20.439566,93.55483254890613,-73.1152668903368
45.0,50.0,41.68272,-87.00682,20.439566,28.690536425891214,-8.250970767321878
90.0,50.0,41.68272,-87.00682,20.439566,37.425523972713094,-16.98595831414376
-120.0,65.0,41.68272,-87.00682,20.439566,162.71183488981012,-142.27226923124078
-150.0,65.0,41.68272,-87.00682,20.439566,115.14101019603284,-94.7014445374635
-180.0,65.0,41.68272,-87.00682,20.439566,196.66803361044663,-176.2284679518773
-30.0,65.0,41.68272,-87.00682,20.439566,71.57184762778313,-51.13228196921379
-60.0,65.0,41.68272,-87.00682,20.439566,157.83176263454968,-137.39219697598034
-90.0,65.0,41.68272,-87.00682,20.439566,204.7146448818598,-184.27507922329048
0.0,65.0,41.68272,-87.00682,20.439566,47.19533016535266,-26.755764506783322
120.0,65.0,41.68272,-87.00682,20.439566,61.89817649048935,-41.45861083192001
150.0,65.0,41.68272,-87.00682,20.439566,73.69933516988165,-53.259769511312314
-180.0,65.0,41.68272,-87.00682,20.439566,196.66803361044663,-176.2284679518773
30.0,65.0,41.68272,-87.00682,20.439566,39.34718005521713,-18.907614396647794
60.0,65.0,41.68272,-87.00682,20.439566,59.63843104233531,-39.19886538376598
90.0,65.0,41.68272,-87.00682,20.439566,74.56126938721465,-54.121703728645315
-112.5,80.0,41.68272,-87.00682,20.439566,571.4237968875948,-550.9842312290255
-135.0,80.0,41.68272,-87.00682,20.439566,338.90467643875616,-318.4651107801868
-157.5,80.0,41.68272,-87.00682,20.439566,242.28816204792918,-221.84859638935984
-180.0,80.0,41.68272,-87.00682,20.439566,496.62075774713935,-476.18119208857
-22.5,80.0,41.68272,-87.00682,20.439566,104.54761690891242,-84.10805125034308
-45.0,80.0,41.68272,-87.00682,20.439566,242.03662754823563,-221.5970618896663
-67.5,80.0,41.68272,-87.00682,20.439566,575.6649469699408,-555.2253813113715
-90.0,80.0,41.68272,-87.00682,20.439566,654.0566574646153,-633.617091806046
0.0,80.0,41.68272,-87.00682,20.439566,71.86488110147894,-51.42531544290961
112.5,80.0,41.68272,-87.00682,20.439566,143.50122782770268,-123.06166216913334
135.0,80.0,41.68272,-87.00682,20.439566,107.74386721545055,-87.30430155688121
157.5,80.0,41.68272,-87.00682,20.439566,156.3935501847277,-135.95398452615837
-180.0,80.0,41.68272,-87.00682,20.439566,496.62075774713935,-476.18119208857
22.5,80.0,41.68272,-87.00682,20.439566,59.98349043319027,-39.54392477462093
45.0,80.0,41.68272,-87.00682,20.439566,90.9687231007495,-70.52915744218016
67.5,80.0,41.68272,-87.00682,20.439566,181.354591026382,-160.91502536781266
90.0,80.0,41.68272,-87.00682,20.439566,207.40279281455062,-186.9632271559813
